audio_id,filename,audio_url,start,end,rel_audio_id,rel_filename,rel_audio_url,rel_start,rel_end,summary_mixtral
UzszuISeA_c=,young artists.wav,https://cdn.freesound.org/previews/158/158513_2865338-hq.mp3,24.68281179138322,41.840226757369614,MPni5pLwRLk=,CoffeeShopChatter.wav,https://cdn.freesound.org/previews/125/125247_1812576-hq.mp3,23.962993197278912,42.3191156462585,A social gathering of men and women engaged in lively conversation and laughter with a loud person at the end.
UzszuISeA_c=,young artists.wav,https://cdn.freesound.org/previews/158/158513_2865338-hq.mp3,24.68281179138322,41.840226757369614,egecNyNNcEE=,Hunebed D27 Borger.wav,https://cdn.freesound.org/previews/243/243879_717853-hq.mp3,9.694331065759638,28.42721088435374,A social gathering of men and women engaged in lively conversation and laughter with a loud person at the end.
UzszuISeA_c=,young artists.wav,https://cdn.freesound.org/previews/158/158513_2865338-hq.mp3,24.68281179138322,41.840226757369614,M8bWO2RHccI=,20130406_tourists.06.wav,https://cdn.freesound.org/previews/185/185141_8043-hq.mp3,31.43981859410431,48.552562358276646,A social gathering of men and women engaged in lively conversation and laughter with a loud person at the end.
UzszuISeA_c=,young artists.wav,https://cdn.freesound.org/previews/158/158513_2865338-hq.mp3,24.68281179138322,41.840226757369614,qYF1f_YGG-o=,Balloon Game at Arlington Heights Carnival.wav,https://cdn.freesound.org/previews/24/24945_130336-hq.mp3,0.0,,A social gathering of men and women engaged in lively conversation and laughter with a loud person at the end.
ToiaKU5S67g=,Bear Last Audio.wav,https://cdn.freesound.org/previews/210/210168_3685050-hq.mp3,0.0,,t3bCWr-jheQ=,dogs_berlin.wav,https://cdn.freesound.org/previews/209/209672_2421590-hq.mp3,34.53968253968254,55.911904761904765,"A person is mimicking the sounds of an angry dog or other growling wild animal, including vocalizations such as continuous grunting noises and muffled breathing."
oNdj3_HK9gU=,Sound of the wind comes from the tunnel 3.wav,https://cdn.freesound.org/previews/86/86066_1275452-hq.mp3,21.67582766439909,38.40777777777778,petWNmdRhYk=,stereo ambient indoors living room heavy traffic outside.wav,https://cdn.freesound.org/previews/126/126994_149596-hq.mp3,39.70612244897959,59.85891156462585,"In a laboratory late at night, a powerful industrial fan or air-conditioning system creates a low, steady, and intense humming/howling sound, similar to the wind or a large airliner's engine."
oNdj3_HK9gU=,Sound of the wind comes from the tunnel 3.wav,https://cdn.freesound.org/previews/86/86066_1275452-hq.mp3,21.67582766439909,38.40777777777778,6ZaYuNVjmic=,STE-041.wav,https://cdn.freesound.org/previews/62/62622_791247-hq.mp3,4.4117913832199545,27.70498866213152,"In a laboratory late at night, a powerful industrial fan or air-conditioning system creates a low, steady, and intense humming/howling sound, similar to the wind or a large airliner's engine."
oNdj3_HK9gU=,Sound of the wind comes from the tunnel 3.wav,https://cdn.freesound.org/previews/86/86066_1275452-hq.mp3,21.67582766439909,38.40777777777778,4f57v3MZXzc=,Thunder3.wav,https://cdn.freesound.org/previews/244/244581_3406193-hq.mp3,0.0,,"In a laboratory late at night, a powerful industrial fan or air-conditioning system creates a low, steady, and intense humming/howling sound, similar to the wind or a large airliner's engine."
6hzBCVlZALU=,20061205.washing.machine.wash.wav,https://cdn.freesound.org/previews/27/27167_8043-hq.mp3,2.136235827664399,22.36700680272109,NHt6wOcNTlA=,Juicer Shredding and Shutting Down.wav,https://cdn.freesound.org/previews/173/173319_2391194-hq.mp3,11.029478458049889,29.68192743764172,"The sound of a machine's motor or engine winding down after being turned off is heard in various settings, including a factory, a state fair, a kitchen, and a laundry room."
6hzBCVlZALU=,20061205.washing.machine.wash.wav,https://cdn.freesound.org/previews/27/27167_8043-hq.mp3,2.136235827664399,22.36700680272109,UREnWVA-NPg=,recycling center 1.wav,https://cdn.freesound.org/previews/95/95026_57789-hq.mp3,0.0,,"The sound of a machine's motor or engine winding down after being turned off is heard in various settings, including a factory, a state fair, a kitchen, and a laundry room."
pxj_Tg26FpI=,In the City.wav,https://cdn.freesound.org/previews/324/324021_3027391-hq.mp3,10.181950113378685,25.54219954648526,d9VuEM-ZAIA=,Running Dirt Tennis Shoes.wav,https://cdn.freesound.org/previews/319/319225_3443504-hq.mp3,0.0,,"A horse or horses are trotting on a paved surface while pulling a wagon or carriage, making a rhythmic ""clip clop"" or ""clip clatter"" sound with their hooves and jingling any equipment."
pxj_Tg26FpI=,In the City.wav,https://cdn.freesound.org/previews/324/324021_3027391-hq.mp3,10.181950113378685,25.54219954648526,WHWaL8HdI3o=,20080504.horse.drawn.00.wav,https://cdn.freesound.org/previews/53/53377_8043-hq.mp3,0.0,,"A horse or horses are trotting on a paved surface while pulling a wagon or carriage, making a rhythmic ""clip clop"" or ""clip clatter"" sound with their hooves and jingling any equipment."
Fc_XsN-JeIo=,Crows.wav,https://cdn.freesound.org/previews/264/264449_4205952-hq.mp3,0.0,,aQNLiOTv5Do=,UrbanHerringGulls.wav,https://cdn.freesound.org/previews/38/38956_37876-hq.mp3,41.94684807256236,61.72739229024943,A recording of multiple birds calling in different pitches is intermittently interrupted by a person fumbling with a recorder.
Fc_XsN-JeIo=,Crows.wav,https://cdn.freesound.org/previews/264/264449_4205952-hq.mp3,0.0,,wEZPj-kujiQ=,london-st-james-park-feeding-the-birds.wav,https://cdn.freesound.org/previews/109/109156_1848966-hq.mp3,18.668843537414965,41.39065759637188,A recording of multiple birds calling in different pitches is intermittently interrupted by a person fumbling with a recorder.
Fc_XsN-JeIo=,Crows.wav,https://cdn.freesound.org/previews/264/264449_4205952-hq.mp3,0.0,,Zvprr0-EbJk=,Duck_quack_2_Sweden.wav,,0.1160997732426303,27.628798185941044,A recording of multiple birds calling in different pitches is intermittently interrupted by a person fumbling with a recorder.
OZQgaEV14hs=,Busy Coffee Shop Counter Field Recording.wav,https://cdn.freesound.org/previews/260/260062_2258946-hq.mp3,136.60299319727892,157.4953514739229,pJpsauAcQ1I=,VA State Fair # 10 (Quieter Crowd Noise).wav,https://cdn.freesound.org/previews/98/98225_1311567-hq.mp3,4.237641723356009,31.00873015873016,"Multiple people are having conversations in a crowded place, punctuated by a single loud shout."
OZQgaEV14hs=,Busy Coffee Shop Counter Field Recording.wav,https://cdn.freesound.org/previews/260/260062_2258946-hq.mp3,136.60299319727892,157.4953514739229,bayMHNpmFeM=,Street Market 2.wav,https://cdn.freesound.org/previews/259/259651_4841074-hq.mp3,0.0464399092970521,23.277165532879817,"Multiple people are having conversations in a crowded place, punctuated by a single loud shout."
Lb-ktaavkKo=,Elizabeth Evans Park - Mount Dora - June.wav,https://cdn.freesound.org/previews/157/157287_2842512-hq.mp3,77.05541950113378,97.13281179138322,k-hackpaiaE=,Unknown morning sound from foliage-BELZ-Caye Caulker-20091211-LFE-007.wav,https://cdn.freesound.org/previews/92/92866_470481-hq.mp3,0.0,,"A person is in a suburban or rural area with a television or audio system on, experiencing sounds of cars, birds, and an occasional animal, while occasional engine noises or speaker malfunctions might momentarily disrupt the peacefulness."
Lb-ktaavkKo=,Elizabeth Evans Park - Mount Dora - June.wav,https://cdn.freesound.org/previews/157/157287_2842512-hq.mp3,77.05541950113378,97.13281179138322,aQNLiOTv5Do=,UrbanHerringGulls.wav,https://cdn.freesound.org/previews/38/38956_37876-hq.mp3,41.94684807256236,61.72739229024943,"A person is in a suburban or rural area with a television or audio system on, experiencing sounds of cars, birds, and an occasional animal, while occasional engine noises or speaker malfunctions might momentarily disrupt the peacefulness."
Lb-ktaavkKo=,Elizabeth Evans Park - Mount Dora - June.wav,https://cdn.freesound.org/previews/157/157287_2842512-hq.mp3,77.05541950113378,97.13281179138322,57ubx3tG70Q=,moucho-I.wav,https://cdn.freesound.org/previews/75/75405_529006-hq.mp3,0.0,,"A person is in a suburban or rural area with a television or audio system on, experiencing sounds of cars, birds, and an occasional animal, while occasional engine noises or speaker malfunctions might momentarily disrupt the peacefulness."
Lb-ktaavkKo=,Elizabeth Evans Park - Mount Dora - June.wav,https://cdn.freesound.org/previews/157/157287_2842512-hq.mp3,77.05541950113378,97.13281179138322,nzxiTrsWmnM=,"Wide Stereo Outdoor Ambience - Birds, distant cars.wav",https://cdn.freesound.org/previews/238/238184_3815733-hq.mp3,21.84997732426304,37.72342403628118,"A person is in a suburban or rural area with a television or audio system on, experiencing sounds of cars, birds, and an occasional animal, while occasional engine noises or speaker malfunctions might momentarily disrupt the peacefulness."
K-PVv62abiY=,Car Driving.wav,https://cdn.freesound.org/previews/85/85233_1328136-hq.mp3,18.030294784580494,47.43031746031746,nBwIsoW9bdg=,20091212.motorcycle.wav,https://cdn.freesound.org/previews/85/85365_8043-hq.mp3,0.0,,"A large vehicle is started, accelerated, and then slowed down."
K-PVv62abiY=,Car Driving.wav,https://cdn.freesound.org/previews/85/85233_1328136-hq.mp3,18.030294784580494,47.43031746031746,hpgBaL8Z6Ko=,outdoors street ambient noisy traffic.wav,https://cdn.freesound.org/previews/126/126976_149596-hq.mp3,37.6627664399093,53.06052154195012,"A large vehicle is started, accelerated, and then slowed down."
ymMXBssB3gk=,New Lift.wav,https://cdn.freesound.org/previews/271/271442_3179042-hq.mp3,0.0,,slIeSoQ14y4=,Door Creaking 01.wav,https://cdn.freesound.org/previews/264/264471_1042839-hq.mp3,22.639455782312925,50.161632653061226,"Someone entered an elevator, causing the door to open, hesitate, and then close, accompanied by mechanical sounds and beeps."
ymMXBssB3gk=,New Lift.wav,https://cdn.freesound.org/previews/271/271442_3179042-hq.mp3,0.0,,i6nW28It3kI=,md1trk33-34.wav,https://cdn.freesound.org/previews/123/123468_296888-hq.mp3,84.50902494331066,107.5296371882086,"Someone entered an elevator, causing the door to open, hesitate, and then close, accompanied by mechanical sounds and beeps."
ymMXBssB3gk=,New Lift.wav,https://cdn.freesound.org/previews/271/271442_3179042-hq.mp3,0.0,,8TY6ssKrNk0=,WS Opening-ClosingDoor(BSROF).wav,https://cdn.freesound.org/previews/273/273481_3554699-hq.mp3,0.0,,"Someone entered an elevator, causing the door to open, hesitate, and then close, accompanied by mechanical sounds and beeps."
ymMXBssB3gk=,New Lift.wav,https://cdn.freesound.org/previews/271/271442_3179042-hq.mp3,0.0,,feJ5Nnbw4SU=,door-squeak-rattle.wav,https://cdn.freesound.org/previews/124/124014_296888-hq.mp3,0.0,,"Someone entered an elevator, causing the door to open, hesitate, and then close, accompanied by mechanical sounds and beeps."
ymMXBssB3gk=,New Lift.wav,https://cdn.freesound.org/previews/271/271442_3179042-hq.mp3,0.0,,sImR-rnawO0=,Squeaky car door.wav,https://cdn.freesound.org/previews/262/262325_3387559-hq.mp3,0.0,,"Someone entered an elevator, causing the door to open, hesitate, and then close, accompanied by mechanical sounds and beeps."
PAFugN0EtG4=,01 A pug struggles to breathe 1_14_2008.wav,https://cdn.freesound.org/previews/66/66304_40561-hq.mp3,36.22312925170068,64.97666666666667,X70sYSDMtgM=,20070918.galloping.horse.wav,https://cdn.freesound.org/previews/41/41180_8043-hq.mp3,0.0,,"A small dog with a flat face is snoring and groaning, while a lamb nearby is sniffing and whining as someone approaches."
kEpD16D128M=,20110206_bright.winter.morning.wav,https://cdn.freesound.org/previews/113/113979_8043-hq.mp3,17.46140589569161,40.201043083900224,TGYGB6lCCTY=,Park 3.wav,https://cdn.freesound.org/previews/118/118145_439521-hq.mp3,69.93850340136055,96.52031746031746,"The sound is of birds chirping and an owl hooting in an outdoor area with some distant traffic, likely in a neighborhood or near a road."
kEpD16D128M=,20110206_bright.winter.morning.wav,https://cdn.freesound.org/previews/113/113979_8043-hq.mp3,17.46140589569161,40.201043083900224,JiogLWR4d94=,Forest with Birds and Wind in the Trees.wav,https://cdn.freesound.org/previews/352/352314_5924738-hq.mp3,3.4249433106575964,22.640385487528345,"The sound is of birds chirping and an owl hooting in an outdoor area with some distant traffic, likely in a neighborhood or near a road."
kEpD16D128M=,20110206_bright.winter.morning.wav,https://cdn.freesound.org/previews/113/113979_8043-hq.mp3,17.46140589569161,40.201043083900224,-Miw7JyMR2c=,country highway ambience1.wav,https://cdn.freesound.org/previews/203/203027_1640900-hq.mp3,8.753922902494331,32.48598639455782,"The sound is of birds chirping and an owl hooting in an outdoor area with some distant traffic, likely in a neighborhood or near a road."
kEpD16D128M=,20110206_bright.winter.morning.wav,https://cdn.freesound.org/previews/113/113979_8043-hq.mp3,17.46140589569161,40.201043083900224,TmaCO_Nb85k=,light suburban ambiance.wav,https://cdn.freesound.org/previews/121/121287_21914-hq.mp3,0.0,,"The sound is of birds chirping and an owl hooting in an outdoor area with some distant traffic, likely in a neighborhood or near a road."
